Log Source
Extension 1005 (Sales)
Registered
Clear View
Live
EXT 1005 (Sales)
registered
Timestamp	Level	Source	Message
—		—	[2026-07-29T17:49:54.935Z] 2026/07/29 17:49:54 Registered dialog for call: e4ab7f1b-41f0-4e6e-8a89-bf2449fb28f5
—		—	[2026-07-29T17:49:54.935Z] 2026/07/29 17:49:54 Parsed remote audio port: 17046
—		—	[2026-07-29T17:49:54.935Z] 2026/07/29 17:49:54 Remote RTP destination: 192.168.11.90:17046
—		—	[2026-07-29T17:49:54.935Z] 2026/07/29 17:49:54 Routing call to ElevenLabs Conversational AI
—		—	[2026-07-29T17:49:54.935Z] 2026/07/29 17:49:54 Using AI provider: elevenlabs
—		—	[2026-07-29T17:49:54.935Z] 2026/07/29 17:49:54 Sending NAT hole-punch packets to 192.168.11.90:17046
—		—	[2026-07-29T17:49:54.945Z] 2026/07/29 17:49:54 WARN SIP request handler not found caller=Server method=ACK
—		—	[2026-07-29T17:49:55.077Z] 2026/07/29 17:49:55 Connecting to ElevenLabs Conversational AI (agent: agent_3201kyqczxkcetgbtq29k0kge5bc)...
—		—	[2026-07-29T17:49:55.553Z] 2026/07/29 17:49:55 Connected to ElevenLabs Conversational AI
—		—	[2026-07-29T17:49:55.553Z] 2026/07/29 17:49:55 DEBUG: appConfig=true
—		—	[2026-07-29T17:49:55.553Z] 2026/07/29 17:49:55 DEBUG: ElevenLabs.FirstMessage='Bonjour, vous êtes bien chez AIO PROCESS. Je suis Hamza, comment puis-je vous aider aujourd'hui ?', SystemPrompt='Vous êtes Hamza, consultant IT chez AIO PROCESS. Vous répondez aux appels entrants de clients et prospects. Répondez en français. Écoutez le besoin du client, présentez brièvement vos services IT, et proposez un rendez-vous si approprié. Soyez professionnel et concis.', Functions=0
—		—	[2026-07-29T17:49:55.553Z] 2026/07/29 17:49:55 Overriding first_message: Bonjour, vous êtes bien chez AIO PROCESS. Je suis Hamza, comment puis-je vous aider aujourd'hui ?
—		—	[2026-07-29T17:49:55.553Z] 2026/07/29 17:49:55 Overriding system prompt
—		—	[2026-07-29T17:49:55.553Z] 2026/07/29 17:49:55 Sending conversation initiation to ElevenLabs: {"conversation_config_override":{"agent":{"first_message":"Bonjour, vous êtes bien chez AIO PROCESS. Je suis Hamza, comment puis-je vous aider aujourd'hui ?","prompt":{"prompt":"Vous êtes Hamza, consultant IT chez AIO PROCESS. Vous répondez aux appels entrants de clients et prospects. Répondez en français. Écoutez le besoin du client, présentez brièvement vos services IT, et proposez un rendez-vous si approprié. Soyez professionnel et concis."}}},"type":"conversation_initiation_client_data"}
—		—	[2026-07-29T17:49:55.554Z] 2026/07/29 17:49:55 Registered bridge for call: e4ab7f1b-41f0-4e6e-8a89-bf2449fb28f5
—		—	[2026-07-29T17:49:55.554Z] 2026/07/29 17:49:55 Starting RTP to ElevenLabs bridge (native μ-law 8kHz)...
—		—	[2026-07-29T17:49:55.554Z] 2026/07/29 17:49:55 Starting ElevenLabs to RTP bridge (native μ-law 8kHz)...
—		—	[2026-07-29T17:49:55.554Z] 2026/07/29 17:49:55 ElevenLabs raw message: {"conversation_initiation_metadata_event":{"conversation_id":"conv_9101kyqfyks7ftqrjf4f8n1t02t3","agent_output_audio_format":"ulaw_8000","user_input_audio_format":"ulaw_8000","persistent_session_token...
—		—	[2026-07-29T17:49:55.554Z] 2026/07/29 17:49:55 ElevenLabs conversation started: conv_9101kyqfyks7ftqrjf4f8n1t02t3 (audio format: ulaw_8000)
—		—	[2026-07-29T17:49:55.561Z] 2026/07/29 17:49:55 Connected to ElevenLabs Conversational AI
—		—	[2026-07-29T17:49:55.562Z] 2026/07/29 17:49:55 DEBUG: appConfig=true
—		—	[2026-07-29T17:49:55.562Z] 2026/07/29 17:49:55 DEBUG: ElevenLabs.FirstMessage='Bonjour, vous êtes bien chez AIO PROCESS. Je suis Hamza, comment puis-je vous aider aujourd'hui ?', SystemPrompt='Vous êtes Hamza, consultant IT chez AIO PROCESS. Vous répondez aux appels entrants de clients et prospects. Répondez en français. Écoutez le besoin du client, présentez brièvement vos services IT, et proposez un rendez-vous si approprié. Soyez professionnel et concis.', Functions=0
—		—	[2026-07-29T17:49:55.562Z] 2026/07/29 17:49:55 Overriding first_message: Bonjour, vous êtes bien chez AIO PROCESS. Je suis Hamza, comment puis-je vous aider aujourd'hui ?
—		—	[2026-07-29T17:49:55.562Z] 2026/07/29 17:49:55 Overriding system prompt
—		—	[2026-07-29T17:49:55.562Z] 2026/07/29 17:49:55 Sending conversation initiation to ElevenLabs: {"conversation_config_override":{"agent":{"first_message":"Bonjour, vous êtes bien chez AIO PROCESS. Je suis Hamza, comment puis-je vous aider aujourd'hui ?","prompt":{"prompt":"Vous êtes Hamza, consultant IT chez AIO PROCESS. Vous répondez aux appels entrants de clients et prospects. Répondez en français. Écoutez le besoin du client, présentez brièvement vos services IT, et proposez un rendez-vous si approprié. Soyez professionnel et concis."}}},"type":"conversation_initiation_client_data"}
—		—	[2026-07-29T17:49:55.562Z] 2026/07/29 17:49:55 Registered bridge for call: e4ab7f1b-41f0-4e6e-8a89-bf2449fb28f5
—		—	[2026-07-29T17:49:55.562Z] 2026/07/29 17:49:55 Starting RTP to ElevenLabs bridge (native μ-law 8kHz)...
—		—	[2026-07-29T17:49:55.562Z] 2026/07/29 17:49:55 Starting ElevenLabs to RTP bridge (native μ-law 8kHz)...
—		—	[2026-07-29T17:49:55.562Z] 2026/07/29 17:49:55 ElevenLabs raw message: {"conversation_initiation_metadata_event":{"conversation_id":"conv_1201kyqfyks7e4zsxtbv0t4z3td5","agent_output_audio_format":"ulaw_8000","user_input_audio_format":"ulaw_8000","persistent_session_token...
—		—	[2026-07-29T17:49:55.562Z] 2026/07/29 17:49:55 ElevenLabs conversation started: conv_1201kyqfyks7e4zsxtbv0t4z3td5 (audio format: ulaw_8000)
—		—	[2026-07-29T17:49:56.017Z] 2026/07/29 17:49:56 ElevenLabs raw message: {"audio_event":{"audio_base_64":"/37///////////////////////////7+/v/+/////////////v7+/////////v/+//////7+/v7//v///////v////////7////////+/////////v///////////////v/+/v7+//7+/v7+/v7+/////v7+/v7+/v7+///...
—		—	[2026-07-29T17:49:56.017Z] 2026/07/29 17:49:56 ElevenLabs audio chunk #1 received (4488 bytes)
—		—	[2026-07-29T17:49:56.017Z] 2026/07/29 17:49:56 ElevenLabs raw message: {"audio_event":{"audio_base_64":"///+/v7//v7////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////...
—		—	[2026-07-29T17:49:56.017Z] 2026/07/29 17:49:56 ElevenLabs audio chunk #1 received (4488 bytes)
—		—	[2026-07-29T17:49:56.023Z] 2026/07/29 17:49:56 Sent 1 RTP packets to 192.168.11.90:17046
—		—	[2026-07-29T17:49:56.035Z] 2026/07/29 17:49:56 Sent 1 RTP packets to 192.168.11.90:17046
—		—	[2026-07-29T17:49:56.104Z] 2026/07/29 17:49:56 ElevenLabs raw message: {"audio_event":{"audio_base_64":"2lDiSV3b6cd9a0hQcNHJfmA+Y/PCutzfPVRoxLzf3jtJaca9z2A8TGDEvdxfO0JYzsPgakNO9c/L7E5EXN3OzV9NVGXXzdtfUk1n6Np7W2Zd1+vkfPPhb3NW/mrP4uNwVN7cwdjRT1Loas363Vfg73vJbtthemX+21rxWfP...
—		—	[2026-07-29T17:49:56.120Z] 2026/07/29 17:49:56 ElevenLabs raw message: {"audio_event":{"audio_base_64":"qbruPi8oIR0bGx0iKztmy8LF0PlVSD42LSgiHx8hJSsyO0RMV23j1M/T42xeYu/QxL26t7WwrKikoJ6dm5qZmJqdpbLaPy4pJCEfHyAkKjJCYt3ecEw9ODIvLSspJycoLDE7RlJYV1RQU1tmcfp98tzMwLizsbGytLOwram...
—		—	[2026-07-29T17:49:56.218Z] 2026/07/29 17:49:56 ElevenLabs raw message: {"audio_event":{"audio_base_64":"jIuNjY+NjZqdnqqssNFEwnY+6WNd2tYyZU0nKCUlHR8WGBcSEBQOFh8WHyTVR6aqoZSSkpaOlZCWnaCepr6xyMfI50XHukxudGhOXyozMisjISEeIRgcFhwTHh4eJSjwQK/PpqGbnpyYm5ien6Gdra6vqq60v8Wtvcnb0H3...
—		—	[2026-07-29T17:49:56.264Z] 2026/07/29 17:49:56 ElevenLabs raw message: {"audio_event":{"audio_base_64":"P0ZAVeLMyL6yrayqp6amp6qrq7K0uLvI1NzsdE1ORkU9Ozo6NjQ4MTQyLzIxLjAxLzEwNjU5QkBQY8+8ubGrqKalpKOkqKqsrrO9v8bealBZSEZCQDw4ODM0LTMvLCstLCsrLDMqLDI2N0Zev6uuqJ6enp6enJ+oqKuzveV...
—		—	[2026-07-29T17:49:56.370Z] 2026/07/29 17:49:56 ElevenLabs raw message: {"audio_event":{"audio_base_64":"xbeqqq2op66wr7bHysbwYXF8VWdgTkhDOTQvKyckIB8cIS0jNe9sv6ano5+enqmnrMxS2TIrMCwpKzc5QFy/wLquqrCuqrO5trvWzM3ZbtjQ3+TO2/ftXkpBOzMtKikkIyMjIC8xMd3BvqyjpqKioqivssBIRj4sLS8uLzt...
—		—	[2026-07-29T17:49:56.385Z] 2026/07/29 17:49:56 ElevenLabs raw message: {"audio_event":{"audio_base_64":"/35+fn5+fn7///////9+fn7/////////fn5+fn5+fv9+fn5+fn5+fv///////35+fn7///7+//9+fn5+fn5+//9+fv9+fn7//vz7+/v8/f3+/v19e3p3d3d6//1+fH17dnb/9vf+d3BtbnP98Ozr8HNudvnp3t7a2+z5Zl9...
—		—	[2026-07-29T17:49:56.664Z] 2026/07/29 17:49:56 ElevenLabs raw message: {"audio_event":{"audio_base_64":"dH377HJlZnNqcH3h5edkaeDmfXN7anZYcvZ453Pz6uf9eW/k3Wpub/n1bWjvdH1ua+Tlamb0aWxjaPDfcHFid/hqZ2xsV2tZ9d5tee3sdnnq7fRaZF7v9nXoY33v6mbseepXXPjg5el3YeZf5OPgc19e+vny6WZdfPnd1PR...
—		—	[2026-07-29T17:49:56.872Z] 2026/07/29 17:49:56 ElevenLabs raw message: {"audio_event":{"audio_base_64":"ajQpIx0WEA0OERESFx0nVLOuppuXlpOTl5eUlpugqrq/wGU2Li4vOUE7O1fDtrCzurevsL9XNSskHRYQDQ4REhIXHSZKt6+nnJeXlJOXl5SWnJ+otry9XzQuMDI5Pzk7ar63s7K0sK2xwGY9LyceFxAODhAQERQbITbHtqq...
—		—	[2026-07-29T17:49:56.872Z] 2026/07/29 17:49:56 ElevenLabs raw message: {"agent_response_event":{"agent_response":"Bonjour, vous êtes bien chez AIO PROCESS. Je suis Hamza, comment puis-je vous aider aujourd'hui ?","event_id":1,"response_id":"a0d8e2ad-1461-44f6-907c-584ac...
—		—	[2026-07-29T17:49:56.872Z] 2026/07/29 17:49:56 AI: Bonjour, vous êtes bien chez AIO PROCESS. Je suis Hamza, comment puis-je vous aider aujourd'hui ?
—		—	[2026-07-29T17:49:56.956Z] 2026/07/29 17:49:56 ElevenLabs raw message: {"audio_event":{"audio_base_64":"x9C9uMTbXEc+My4zNjM5P0ZJQT9BOzUxMDM2NjpARU1ZWGHi3tbEu7Wtpp6anJ+eobDD9U5DMi5AXE5ox7y7zejVYD06PD0+O0P85XvTyMnaWE5NPTQ1NjUzMzg9Ojk8Pjw5OTo9PDs+RUlLT3Db0Mq9tq+rpZ6eoKChqK+...
—		—	[2026-07-29T17:49:57.072Z] 2026/07/29 17:49:57 ElevenLabs raw message: {"audio_event":{"audio_base_64":"jKUuLk4eFx/bjoqVrNomLxULDyeqkpmmnqjeHw4PLMSkoqign08eEhEiS9HB0c7XLBwXGyxHaPtRTjsxLi9IsZuGg4mbJxkqLx8vTpWHjKc0FRoiExQsqI+NqUcpHh4ZFTmdk5OtNCggHh8fPa2nrkAgHiIgJyg52spKNiw...
—		—	[2026-07-29T17:49:57.074Z] 2026/07/29 17:49:57 ElevenLabs raw message: {"agent_response_event":{"agent_response":"Bonjour, vous êtes bien chez AIO PROCESS. Je suis Hamza, comment puis-je vous aider aujourd'hui ?","event_id":1,"response_id":"806156fa-fbbd-4360-8498-94d9c...
—		—	[2026-07-29T17:49:57.074Z] 2026/07/29 17:49:57 AI: Bonjour, vous êtes bien chez AIO PROCESS. Je suis Hamza, comment puis-je vous aider aujourd'hui ?
—		—	[2026-07-29T17:49:57.124Z] 2026/07/29 17:49:57 RTP packet #1 received from 192.168.11.90:17046, size=172 bytes
—		—	[2026-07-29T17:49:57.316Z] 2026/07/29 17:49:57 ElevenLabs raw message: {"audio_event":{"audio_base_64":"ta6lqKqtr6msurSus7W2uq61xLi2z8vaVHxHPUA9LjAtKCgkIB8eGiAlIiUyQl3Pu6ijqKWfoKWqrayxzcG5v8XAt66wtauqrrS4vMFwSEw8LCgkIR4bFxcUERwgGyNDXL+wppeXn5qXn6ett7ZvMERxOz/Rs6isp52dpKK...
—		—	[2026-07-29T17:49:57.411Z] 2026/07/29 17:49:57 ElevenLabs raw message: {"ping_event":{"event_id":2,"ping_ms":null},"type":"ping"}
—		—	[2026-07-29T17:49:57.418Z] 2026/07/29 17:49:57 ElevenLabs raw message: {"ping_event":{"event_id":2,"ping_ms":null},"type":"ping"}
—		—	[2026-07-29T17:49:57.438Z] 2026/07/29 17:49:57 ElevenLabs raw message: {"audio_event":{"audio_base_64":"NBkbFxIPDxUZExYiHx0sxKyPkpKJiIyMkJeX7i44IhMXGB8oJN2gpaOWmJmnv8cyFhYVDw4PFhkXGCcgHybsyZuPmI2Jio2Nl5WnLzMrFxQbHC0oRaKfp5mXm6DBzkEbFBgQDw8UGhkZICcdIi3Uv5SSlouIi42Pl5XXKzw...
—		—	[2026-07-29T17:49:58.074Z] 2026/07/29 17:49:58 Sent 100 RTP packets to 192.168.11.90:17046
—		—	[2026-07-29T17:49:58.082Z] 2026/07/29 17:49:58 Sent 100 RTP packets to 192.168.11.90:17046
—		—	[2026-07-29T17:49:59.097Z] 2026/07/29 17:49:59 RTP packet #100 received from 192.168.11.90:17046, size=172 bytes
—		—	[2026-07-29T17:49:59.114Z] 2026/07/29 17:49:59 ElevenLabs raw message: {"ping_event":{"event_id":3,"ping_ms":151},"type":"ping"}
—		—	[2026-07-29T17:49:59.119Z] 2026/07/29 17:49:59 ElevenLabs raw message: {"ping_event":{"event_id":3,"ping_ms":149},"type":"ping"}
—		—	[2026-07-29T17:50:00.074Z] 2026/07/29 17:50:00 Sent 200 RTP packets to 192.168.11.90:17046
—		—	[2026-07-29T17:50:00.082Z] 2026/07/29 17:50:00 Sent 200 RTP packets to 192.168.11.90:17046
—		—	[2026-07-29T17:50:00.812Z] 2026/07/29 17:50:00 ElevenLabs raw message: {"ping_event":{"event_id":4,"ping_ms":152},"type":"ping"}
—		—	[2026-07-29T17:50:00.819Z] 2026/07/29 17:50:00 ElevenLabs raw message: {"ping_event":{"event_id":4,"ping_ms":152},"type":"ping"}
—		—	[2026-07-29T17:50:01.097Z] 2026/07/29 17:50:01 RTP packet #200 received from 192.168.11.90:17046, size=172 bytes
—		—	[2026-07-29T17:50:01.243Z] 2026/07/29 17:50:01 ElevenLabs raw message: {"interruption_event":{"event_id":25},"type":"interruption"}
—		—	[2026-07-29T17:50:01.243Z] 2026/07/29 17:50:01 ElevenLabs: Caller interrupted AI
—		—	[2026-07-29T17:50:01.243Z] 2026/07/29 17:50:01 ElevenLabs raw message: {"agent_response_correction_event":{"original_agent_response":"Bonjour, vous êtes bien chez AIO PROCESS. Je suis Hamza, comment puis-je vous aider aujourd'hui ?","corrected_agent_response":"Bonjour, ...
—		—	[2026-07-29T17:50:01.243Z] 2026/07/29 17:50:01 ElevenLabs event: agent_response_correction
—		—	[2026-07-29T17:50:02.075Z] 2026/07/29 17:50:02 Sent 300 RTP packets to 192.168.11.90:17046
—		—	[2026-07-29T17:50:02.513Z] 2026/07/29 17:50:02 ElevenLabs raw message: {"ping_event":{"event_id":5,"ping_ms":151},"type":"ping"}
—		—	[2026-07-29T17:50:02.519Z] 2026/07/29 17:50:02 ElevenLabs raw message: {"ping_event":{"event_id":5,"ping_ms":149},"type":"ping"}
—		—	[2026-07-29T17:50:03.105Z] 2026/07/29 17:50:03 RTP packet #300 received from 192.168.11.90:17046, size=172 bytes
—		—	[2026-07-29T17:50:03.280Z] 2026/07/29 17:50:03 ElevenLabs raw message: {"user_transcription_event":{"user_transcript":"Hamza.","event_id":25},"type":"user_transcript"}
—		—	[2026-07-29T17:50:03.280Z] 2026/07/29 17:50:03 Caller: Hamza.
—		—	[2026-07-29T17:50:03.281Z] 2026/07/29 17:50:03 ElevenLabs raw message: {"audio_event":{"audio_base_64":"///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////...
—		—	[2026-07-29T17:50:03.415Z] 2026/07/29 17:50:03 ElevenLabs raw message: {"audio_event":{"audio_base_64":"TlNQUFBPT05PVVZZbHrw29TRy8jGw8G/vr28u7q7urq7u7u8vr/AxMjKztLW3ODm7fr/b2NfXFJNS0VBPzw8Ozg5OTk6Oz4+PkNHQ0dNSUpNTE1OUlpeaujf2szKyMK/wL+9vr6+vr3Av7zAwb3Aw8DExcfNytHm1Oxi7WB...
—		—	[2026-07-29T17:50:03.771Z] 2026/07/29 17:50:03 ElevenLabs raw message: {"audio_event":{"audio_base_64":"KDPQtLdOLzBrv7xuOD3Hr71KMTrKrLLrNzq4oao8JDqrpbkyKEeuq9wqJTm/xjQnL82sr043Yry+VTxC6MpXNTBStrPnOkPBr8g9NU+/wko3UbqyyE9PwrTHPzr2u79MOEvAtb/uafjNyGc8Pl/pVUJEZ+Pc/Gz45d3W4lN...
—		—	[2026-07-29T17:50:03.772Z] 2026/07/29 17:50:03 ElevenLabs raw message: {"agent_response_event":{"agent_response":"[heureux] Enchanté. Comment puis-je vous aider aujourd'hui ?","event_id":25,"response_id":"0d87bd02-c5cf-4657-b152-9428e44c13c4","in_response_to_ids":["ade2...
—		—	[2026-07-29T17:50:03.772Z] 2026/07/29 17:50:03 AI: [heureux] Enchanté. Comment puis-je vous aider aujourd'hui ?
—		—	[2026-07-29T17:50:04.215Z] 2026/07/29 17:50:04 ElevenLabs raw message: {"ping_event":{"event_id":6,"ping_ms":150},"type":"ping"}
—		—	[2026-07-29T17:50:04.231Z] 2026/07/29 17:50:04 ElevenLabs raw message: {"audio_event":{"audio_base_64":"EhARDg8ZHiFIsKifnJqbpbK8Nx8dGRUVGB0iLM6rpZqQjY2Ki5KTlbFGORwSDw0ODQ0YJCXrop6alpWYobPFLRkXFA8QFRogL8emn5ePjYyJiI+VkaE7LyASDQsMDAsSISI6pJyak5GUm6i0OhwYFA4OEhYcJUevoZuSjoy...
—		—	[2026-07-29T17:50:04.232Z] 2026/07/29 17:50:04 ElevenLabs raw message: {"ping_event":{"event_id":6,"ping_ms":149},"type":"ping"}
—		—	[2026-07-29T17:50:04.626Z] 2026/07/29 17:50:04 Sent 300 RTP packets to 192.168.11.90:17046
—		—	[2026-07-29T17:50:05.098Z] 2026/07/29 17:50:05 RTP packet #400 received from 192.168.11.90:17046, size=172 bytes
—		—	[2026-07-29T17:50:05.916Z] 2026/07/29 17:50:05 ElevenLabs raw message: {"ping_event":{"event_id":7,"ping_ms":150},"type":"ping"}
—		—	[2026-07-29T17:50:05.925Z] 2026/07/29 17:50:05 ElevenLabs raw message: {"ping_event":{"event_id":7,"ping_ms":149},"type":"ping"}
—		—	[2026-07-29T17:50:07.102Z] 2026/07/29 17:50:07 RTP packet #500 received from 192.168.11.90:17046, size=172 bytes
—		—	[2026-07-29T17:50:07.617Z] 2026/07/29 17:50:07 ElevenLabs raw message: {"ping_event":{"event_id":8,"ping_ms":151},"type":"ping"}
—		—	[2026-07-29T17:50:07.621Z] 2026/07/29 17:50:07 ElevenLabs raw message: {"ping_event":{"event_id":8,"ping_ms":155},"type":"ping"}
—		—	[2026-07-29T17:50:09.098Z] 2026/07/29 17:50:09 RTP packet #600 received from 192.168.11.90:17046, size=172 bytes
—		—	[2026-07-29T17:50:09.318Z] 2026/07/29 17:50:09 ElevenLabs raw message: {"ping_event":{"event_id":9,"ping_ms":151},"type":"ping"}
—		—	[2026-07-29T17:50:09.322Z] 2026/07/29 17:50:09 ElevenLabs raw message: {"ping_event":{"event_id":9,"ping_ms":155},"type":"ping"}
—		—	[2026-07-29T17:50:11.022Z] 2026/07/29 17:50:11 ElevenLabs raw message: {"ping_event":{"event_id":10,"ping_ms":150},"type":"ping"}
—		—	[2026-07-29T17:50:11.027Z] 2026/07/29 17:50:11 ElevenLabs raw message: {"ping_event":{"event_id":10,"ping_ms":150},"type":"ping"}
—		—	[2026-07-29T17:50:11.099Z] 2026/07/29 17:50:11 RTP packet #700 received from 192.168.11.90:17046, size=172 bytes
—		—	[2026-07-29T17:50:12.719Z] 2026/07/29 17:50:12 ElevenLabs raw message: {"ping_event":{"event_id":11,"ping_ms":150},"type":"ping"}
—		—	[2026-07-29T17:50:12.723Z] 2026/07/29 17:50:12 ElevenLabs raw message: {"ping_event":{"event_id":11,"ping_ms":150},"type":"ping"}
—		—	[2026-07-29T17:50:13.098Z] 2026/07/29 17:50:13 RTP packet #800 received from 192.168.11.90:17046, size=172 bytes
—		—	[2026-07-29T17:50:14.420Z] 2026/07/29 17:50:14 ElevenLabs raw message: {"ping_event":{"event_id":12,"ping_ms":150},"type":"ping"}
—		—	[2026-07-29T17:50:14.424Z] 2026/07/29 17:50:14 ElevenLabs raw message: {"ping_event":{"event_id":12,"ping_ms":150},"type":"ping"}
—		—	[2026-07-29T17:50:14.542Z] 2026/07/29 17:50:14 ElevenLabs raw message: {"user_transcription_event":{"user_transcript":"Monsieur Marple.","event_id":99},"type":"user_transcript"}
—		—	[2026-07-29T17:50:14.542Z] 2026/07/29 17:50:14 Caller: Monsieur Marple.
—		—	[2026-07-29T17:50:14.547Z] 2026/07/29 17:50:14 ElevenLabs raw message: {"audio_event":{"audio_base_64":"///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////...
—		—	[2026-07-29T17:50:14.602Z] 2026/07/29 17:50:14 Sent 400 RTP packets to 192.168.11.90:17046
—		—	[2026-07-29T17:50:14.711Z] 2026/07/29 17:50:14 ElevenLabs raw message: {"audio_event":{"audio_base_64":"JyInKCUqM0riu7GjoJ6enp2bn6Gfn56en5qarLGxzTwpHyQcFRgbHiEiLV1U+My+vsVg3flIPTo6OjIwNzQ0MDM3OjdCRm/py8a0s6ypq6Wmp6imrKavrKuqqaers669yG1MOjgqJyklJigpLzEvOUQ8RUBGVj4+RkQ8RT9...
—		—	[2026-07-29T17:50:14.969Z] 2026/07/29 17:50:14 ElevenLabs raw message: {"audio_event":{"audio_base_64":"W3nWzMzNy8fHycnGwr68ureyrq6trKqqqqysq62urrfCxNxUSDcxMSsoKistLzA7TFd82crAxc7N0O1TRD89Ni8vLy4uLS80NTY7RE5VXurPzs/KxcHCxMC8vL27uLa0s7Kwr7GxsbGxsra3t7i8u73N0d1TTUE3ODUuLzA...
—		—	[2026-07-29T17:50:15.100Z] 2026/07/29 17:50:15 RTP packet #900 received from 192.168.11.90:17046, size=172 bytes
—		—	[2026-07-29T17:50:15.148Z] 2026/07/29 17:50:15 ElevenLabs raw message: {"audio_event":{"audio_base_64":"Rkxw4sm9s6uloqSlqaurqay0zEk8PUxMSTo2NT1KVU49NzY8P0Y9Ojo9P0E/Ojs8PT09P0hf5M3Bt6yln5+jp6qrqam10D81NUVKQjsxMjpQXuBJPTQ3OEBENzYxMzM5Mzo3ODw+Q1Tnz7u0rKWfmpibn6err6+/Ty8lIyk...
—		—	[2026-07-29T17:50:15.407Z] 2026/07/29 17:50:15 ElevenLabs raw message: {"audio_event":{"audio_base_64":"XEQ/QFNg1UrpSkjTScN9zl386lxfQj4+Tkpca+LkxtC9z87WaGVXfEzyRW19S79I0sJIu0vo10vVTFrdSt39T3lSeUdOSktMUU/fWeL1XtpKXU9NTUhBTD5VWD3PQljUOMRCWt83yj1MyTzTYjvSPlNiO2dJOsY4etk2uDn...
—		—	[2026-07-29T17:50:15.409Z] 2026/07/29 17:50:15 ElevenLabs raw message: {"agent_response_event":{"agent_response":"D'accord, Monsieur Marple. Je suis à votre écoute. Quel est l'objet de votre appel ?","event_id":99,"response_id":"e3fe8a29-bf44-44b2-b391-a810bde9f539","i...
—		—	[2026-07-29T17:50:15.410Z] 2026/07/29 17:50:15 AI: D'accord, Monsieur Marple. Je suis à votre écoute. Quel est l'objet de votre appel ?
—		—	[2026-07-29T17:50:15.808Z] 2026/07/29 17:50:15 ElevenLabs raw message: {"audio_event":{"audio_base_64":"u6+qopydm5qdn6Ghp7nEw0oyLikpJSAnLS00QE/i5+/N3WVYRkVEOjg7Oj0+PkdMS1z42MfBvLeysK6rqaqqq6uusrm+xtpoT0Q8NjEvLCopKCgoKSosLjA0OT5FTF3hzMG7ta+sqqimpaWmqKqtsrm/zOVeTUM8NzQxLi0...
—		—	[2026-07-29T17:50:16.125Z] 2026/07/29 17:50:16 ElevenLabs raw message: {"ping_event":{"event_id":13,"ping_ms":150},"type":"ping"}
—		—	[2026-07-29T17:50:16.126Z] 2026/07/29 17:50:16 ElevenLabs raw message: {"ping_event":{"event_id":13,"ping_ms":151},"type":"ping"}
—		—	[2026-07-29T17:50:16.602Z] 2026/07/29 17:50:16 Sent 500 RTP packets to 192.168.11.90:17046
—		—	[2026-07-29T17:50:17.098Z] 2026/07/29 17:50:17 RTP packet #1000 received from 192.168.11.90:17046, size=172 bytes
